condition,reaction_id,flux,absolute_flux
glucose_aerobic,ATPS4rpp,70.43249366231504,70.43249366231504
glucose_aerobic,CYTBO3_4pp,44.25628774288385,44.25628774288385
glucose_aerobic,NADH16pp,37.99704395949195,37.99704395949195
glucose_aerobic,PGK,-17.10543360355007,17.10543360355007
glucose_aerobic,GAPD,17.10543360355007,17.10543360355007
glucose_aerobic,PGM,-15.598897532203528,15.598897532203528
glucose_aerobic,ENO,15.598897532203528,15.598897532203528
glucose_aerobic,GLCptspp,10.0,10.0
glucose_aerobic,PDH,9.689686793405729,9.689686793405729
glucose_aerobic,PFK,8.451763770252557,8.451763770252557
fructose_aerobic,ATPS4rpp,70.43249366231507,70.43249366231507
fructose_aerobic,CYTBO3_4pp,44.25628774288387,44.25628774288387
fructose_aerobic,NADH16pp,37.99704395949196,37.99704395949196
fructose_aerobic,PGK,-17.105433603550058,17.105433603550058
fructose_aerobic,GAPD,17.105433603550054,17.105433603550054
fructose_aerobic,ENO,15.598897532203502,15.598897532203502
fructose_aerobic,PGM,-15.5988975322035,15.5988975322035
fructose_aerobic,PDH,9.689686793405718,9.689686793405718
fructose_aerobic,FRUptspp,8.451763770252551,8.451763770252551
fructose_aerobic,FBA,8.451763770252551,8.451763770252551
galactose_aerobic,ATPS4rpp,69.23608277548401,69.23608277548401
galactose_aerobic,CYTBO3_4pp,45.06850049334618,45.06850049334618
galactose_aerobic,NADH16pp,38.619019553989965,38.619019553989965
galactose_aerobic,PGK,-17.179365215419004,17.179365215419004
galactose_aerobic,GAPD,17.179365215419004,17.179365215419004
galactose_aerobic,ENO,15.688983987421384,15.688983987421384
galactose_aerobic,PGM,-15.68898398742138,15.68898398742138
galactose_aerobic,GALKr,10.000000000000004,10.000000000000004
galactose_aerobic,UGLT,10.000000000000004,10.000000000000004
galactose_aerobic,UDPG4E,-10.000000000000004,10.000000000000004
glycerol_aerobic,ATPS4rpp,44.399394951679916,44.399394951679916
glycerol_aerobic,CYTBO3_4pp,27.273026865998805,27.273026865998805
glycerol_aerobic,NADH16pp,24.581290687258377,24.581290687258377
glycerol_aerobic,TPI,9.499843504833951,9.499843504833951
glycerol_aerobic,PGK,-8.810063987642188,8.810063987642188
glycerol_aerobic,GAPD,8.810063987642188,8.810063987642188
glycerol_aerobic,ENO,7.9602280827512715,7.9602280827512715
glycerol_aerobic,PGM,-7.96022808275127,7.96022808275127
glycerol_aerobic,ATPM,6.86,6.86
glycerol_aerobic,GLYCDx,6.158009290131753,6.158009290131753
succinate_aerobic,ATPS4rpp,48.26815151952249,48.26815151952249
succinate_aerobic,CYTBO3_4pp,31.127352060307853,31.127352060307853
succinate_aerobic,NADH16pp,17.776350239590087,17.776350239590087
succinate_aerobic,FUM,13.67193672662695,13.67193672662695
succinate_aerobic,SUCDi,13.351733660972071,13.351733660972071
succinate_aerobic,MDH,11.393005567889546,11.393005567889546
succinate_aerobic,ATPM,6.86,6.86
succinate_aerobic,PDH,5.111549322704202,5.111549322704202
succinate_aerobic,GLUDy,-3.8488372394799346,3.8488372394799346
succinate_aerobic,CS,3.6865195213620505,3.6865195213620505
acetate_aerobic,ATPS4rpp,32.50818256163676,32.50818256163676
acetate_aerobic,CYTBO3_4pp,21.854339510060864,21.854339510060864
acetate_aerobic,NADH16pp,14.946687035050108,14.946687035050108
acetate_aerobic,MDH,10.683360097960007,10.683360097960007
acetate_aerobic,ACKr,10.122316815569375,10.122316815569375
acetate_aerobic,PTAr,-10.122316815569373,10.122316815569373
acetate_aerobic,ACt2rpp,10.000000000002071,10.000000000002071
acetate_aerobic,FUM,9.032381568738161,9.032381568738161
acetate_aerobic,CS,7.064271347326952,7.064271347326952
acetate_aerobic,ACONTb,7.064271347326951,7.064271347326951
glucose_anaerobic,PGK,-19.62095184858993,19.62095184858993
glucose_anaerobic,GAPD,19.620951848589925,19.620951848589925
glucose_anaerobic,ENO,19.35886451309725,19.35886451309725
glucose_anaerobic,PGM,-19.35886451309725,19.35886451309725
glucose_anaerobic,PFL,18.244798381730202,18.244798381730202
glucose_anaerobic,PGI,10.0,10.0
glucose_anaerobic,GLCptspp,10.0,10.0
glucose_anaerobic,FBA,9.862870779178436,9.862870779178436
glucose_anaerobic,PFK,9.862870779178436,9.862870779178436
glucose_anaerobic,TPI,9.840680035644242,9.840680035644242
